,Text Tweet
98,"OFFROADER GAGAL MUDIK GAES 

TUNDA DULU MUDIK TAHUN INI YA GAES
➡️Patuhi Tata Tertib Berlalu Lintas
➡️Patuhi Protok… https://t.co/L0qDglyJfO"
99,@infobdg Sy tiap 3 hari sekali Bandung jakarta apa dibilang Mudik...
100,Aduh gaboleh mudik lagi :(
101,"@ganjarpranowo nyuwun sewu mas, kalau tidak pada mudik tapi Covid-19 tetep naik, nanti kira2 yang disalahkan siapa"
102,"Mari bersama cegah penularan covid-19 dengan tidak mudik lebaran.. 

@DivHumas_Polri
@poldabengkulu
@teguhsarwono87… https://t.co/BG0W8ibm1x"
103,Pemerintah melalui Satgas Penanganan Covid-19 menerbitkan Surat Edaran No 13 Tahun 2021 tentang Peniadaan Mudik Har… https://t.co/SSxjflD2Ry
104,"Nekat mudik ke banyumas? Ini yang akan terjadi

https://t.co/N9VKwXHA2N"
105,@WagimanDeep212_ Wis ga usah mudik 😂😂
106,Maksud hati ke benteng betawi biar deket daripada puri pada akhirnya malahan ke tangerang berasa gladi resik mudik
107,Petugas mudik jalur tikus di Afrika.. https://t.co/S7fSmERKEH
108,"10 juta orang potensi mudik, Menko PMK: Ingatkan kematian
https://t.co/vVRAnGZX3g https://t.co/pbfN1XuyQP"
109,"@ganjarpranowo MUDIK ❌❌❌
PULANG KAMPUNG ❌❌❌
WISATA PAS LIBUR LEBARAN ❌❌❌
PROKES 5M ✅✅✅"
110,"Lahir di majalengka, asli mahalengka pas giliran mau lebaran suruh mudik ke bandung 
🤣🤣🤣🤣🤣
Itulah gw"
111,Lima wilayah tersebut menurut Bambang merupakan titik simpul kedatangan yang berbatasan dengan provinsi lain. https://t.co/r9layVGg5m
112,apakah betulan dilarang mudik
113,"@abubakarsegaf Poin no 1 oke sih, tp tidak mendesak. &amp; mungkin diksinya adl mengendalikan &amp; mengatur mudik, tdk han… https://t.co/HLfXWfTZDL"
114,"@ArgentianaA @delzitaz Masak sihh mbaa,, baru tau eyke.  Taunya biasanya di pohon asem.
Etapi bulan puasa gini neng… https://t.co/sBH2SE6ikE"
115,"@icanhanimunza Gabole mudik, bolenya liburannn🤭"
116,"Pemerintah menghimbau agar seluruh pekerja dan pekerja migran untuk tdk mudik 2021 
  KerjaKeras Maju Negeriku https://t.co/xVvAnmA9NL"
117,"@_andy_ch NTB sdh mengizinkn mudik
Daerah lain yg mn aja 
Nanya ya biar bs mudik 😊🙏"
118,"@tirta_hudhi Sama doong dok, enggak mudik, tahan dlu kangen dan sungkem² 🥺"
119,@infobdg Marukan nu mudik teh KORUPTOR make jeng di sita 🤣🤣
120,"Cega Desa kita masuk zona merah covid 19. Patuni protokol kesehatan, dan himbau saudara kita diluar sana agar TIDAK MUDIK"
121,Pemerintah menghimbau pekerja/buruh swasta dan pekerja Migran (PMI) agar tidak melakukan perjalanan mudik pada Idul… https://t.co/e5swcjBfsz
122,"New post (Cegah Mudik, Ditlantas Polda Sulsel Dirikan Posko Penyekatan) has been published on Rakyat Sulsel -… https://t.co/48RfPuHSzq"
123,"YUK, TIDAK MUDIK 
Lindungi Diri Kita dan Keluarga dari Covid-19

Lebaran Bahagia di rumah, keluarga di kampung seha… https://t.co/J8c271LNFK"
124,@treasuremfess mudik @treasuremembers
125,Presiden Joko Widodo bersama Semua pejabat negara tidak akan melaksanakan mudik lebaran 2021. KerjaKeras Maju Neger… https://t.co/q7Kh3gDMHb
126,"Cegah Mudik, Ditlantas Polda Sulsel Dirikan Posko Penyekatan https://t.co/wGKpKWORLa"
127,Pengen sambat terkait larangan mudik:( tapi sadar kalo masih kerja bumn
128,"@ganjarpranowo Aamiinn.... 
Tahun kedua nggk mudik ke Kudus. Sdh 2 th nggk ziarah ortu &amp; sowan Mbah2, Sedulur 🙏"
129,"Presiden Jokowi berserta seluruh pejabat tidak akan mudik Lebaran 2021
KerjaKeras Maju Negeriku https://t.co/334Z19mQXF"
130,"Peniadaan Mudik, Menag: Pemerintah Ingin Lindungi Warga

Pemerintah tetap pada keputusan untuk meniadakan mudik Idu… https://t.co/bXBwetfFHx"
131,"Peniadaan Mudik, Menag: Pemerintah Ingin Lindungi Warga

Pemerintah tetap pada keputusan untuk meniadakan mudik Idu… https://t.co/AdtI1Lt4Wl"
132,"Nts!
WTS

ALBUM STRANGER+PC HENDERY 210K
ALBUM ONLY 110K
PC HENDERY 120K

Bisa oren keep 23.4 / 25.4 (gabisa keep 5… https://t.co/RG6Y0pcZJs"
133,Kemenhub memberikan kelonggaran bagi masyarakat yang ingin melakukan perjalanan aglomerasi atau mudik lokal pada 6… https://t.co/gagqlCyIP1
134,@klik_ayet @ismailfahmi Perasaan mudik yg dibahas
135,"Jangan Mudik, Anggota Komisi IX DPR Ingatkan Masyarakat Berkaca Pada India- Opsi Flash https://t.co/UxfX3sun6d"
136,"Peniadaan Mudik, Menag: Pemerintah Ingin Lindungi Warga

Pemerintah tetap pada keputusan untuk meniadakan mudik Idu… https://t.co/IYxOURKLcU"
137,@ismailfahmi . Kalau mudik dengan menerapkan protokol kesehatan yg ketara gimana??
138,Satgas penanganan cofid19 mengeluarkan surat edaran Tentang Pengadaan mudik hari raya idulfitri. KerjaKeras Maju Ne… https://t.co/m917oOPdIU
139,"Presiden Joko Widodo menyampaikan untuk mengutamakan keselamatan bersama dengan tidak mudik.
KerjaKeras Maju Negeri… https://t.co/GGk9qXhwr1"
140,"Peniadaan Mudik, Menag: Pemerintah Ingin Lindungi Warga

Pemerintah tetap pada keputusan untuk meniadakan mudik Idu… https://t.co/NuqN4Rt1Zw"
141,"KerjaKeras Maju Negeriku
Semua Dihimbau agar tidak mudik dulu tahun ini. https://t.co/JcuuE6eND4"
142,"@bertanyarl jualan pulsa,kali aja ada yg butuh buat nelpon keluarga di luar daerah,kan mudik dilarang"
143,@icanhanimunza gabole mudik bolenya pulkam
144,"Presiden Jokowi menyampaikan untuk utamakan keselamatan bersama dengan tidak mudik. 
KerjaKeras Maju Negeriku https://t.co/jzrseRsr2P"
145,@poldajateng_ @ganjarpranowo 2x mudik gak pulang2 udah kaya bang toyib aja wkwk
146,"Larangan mudik lebaran Idulfitri, mulai 6 hingga 17 Mei 2021, berdampak pada menurunnya aktivitas transaksi nasabah… https://t.co/AvZcG9bnGq"
147,".
Jangan Mudik!!
.
Jangan jadikan Corona Oleh-oleh
Lebaran di Kampung Halaman
.
Sayangi Diri dan Keluarga
.
Irjen P… https://t.co/K4me93Yxhx"
